Mode,SimulationRun,Iteration,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,4,19,960,63,427.842842102051,20
RebuildWholeGraph,4,20,1025,65,430.278379678726,21
RebuildWholeGraph,4,21,1099,74,449.025371789932,22
RebuildWholeGraph,4,22,1164,65,474.302368402481,23
RebuildWholeGraph,4,23,1250,86,474.32280755043,24
RebuildWholeGraph,4,24,1374,124,491.033205270767,25
RebuildWholeGraph,4,25,1460,86,491.288435220718,26
RebuildWholeGraph,4,26,1567,107,506.85086274147,27
RebuildWholeGraph,4,27,1678,111,505.707707643509,28
RebuildWholeGraph,4,28,1871,193,511.218892335892,29
RebuildWholeGraph,4,29,2159,288,511.523971796036,30
RebuildWholeGraph,4,30,2350,191,526.482374429703,31
RebuildWholeGraph,4,31,2455,105,528.692885637283,32
RebuildWholeGraph,4,32,2632,177,528.776657581329,33
RebuildWholeGraph,4,33,2749,117,530.139125823975,34
RebuildWholeGraph,4,34,2923,174,529.811848640442,35
RebuildWholeGraph,4,35,3033,110,545.977390289307,36
RebuildWholeGraph,4,36,3199,166,542.192556381226,37
RebuildWholeGraph,4,37,3396,197,542.736036777496,38
RebuildWholeGraph,4,38,3524,128,551.446537971497,39
RebuildWholeGraph,4,39,3633,109,550.621856212616,40
